river,land,HGMR
EL0_5280_0000,A24019,CPLN
EL0_5281_0000,A24019,CPLN
EL0_5282_0000,A24019,CPLN
EL0_5283_0000,A24019,CPLN
EL0_5284_0000,A24019,CPLN
EL0_5285_0000,A24019,CPLN
EL0_5400_0001,A10005,CPUN
EL0_5400_0001,A24045,CPUN
EL0_5590_0000,A24019,CPLN
EL0_5760_0000,A24045,CPDN
EL0_5761_0000,A24039,CPLT
EL0_5761_0000,A24045,CPLN
EL0_5762_0000,A24039,CPLN
EL0_5762_0000,A24045,CPLN
EL0_5763_0000,A24039,CPLN
EL0_5764_0000,A24045,CPLN
EL0_5765_0000,A24039,CPLN
EL0_5766_0000,A24019,CPLN
EL0_5890_0000,A24019,CPLN
EL0_5890_0000,A24039,CPLN
EL0_5891_0000,A24039,CPLN
EL0_5892_0000,A24039,CPLN
EL0_5893_0000,A24039,CPLT
EL0_5894_0000,A24039,CPLN
EL0_5895_0000,A51001,CPLN
EL0_5896_0000,A51001,CPLN
EL0_5973_0000,A51001,CPLN
EL0_6001_0000,A24039,CPLN
EL0_6002_0000,A24039,CPLN
EL0_6003_0000,A24039,CPLN
EL0_6004_0000,A24039,CPLN
EL0_6010_0000,A24039,CPLN
EL0_6011_0000,A24039,CPLN
EL0_6190_0000,A51001,CPLN
EL0_6191_0000,A51001,CPLN
EL0_6480_0000,A51001,CPLN
EL0_6550_0000,A51001,CPUN
EL0_6610_0000,A51001,CPDN
EL0_6610_0000,A51131,CPDN
EL0_6920_0000,A51131,CPDN
EL0_7060_0000,A51131,CPDN
EL0_7220_0000,A51131,CPDN
EL1_5150_0001,A24019,CPLN
EL1_5430_0001,A24045,CPUN
EL1_5430_0001,A24047,CPDN
EL1_5570_0001,A24039,CPDN
EL1_5570_0001,A24045,CPUN
EL1_5570_0001,A24047,CPDN
EL1_5660_0000,A24047,CPDN
EL1_6000_0001,A24039,CPLN
EL2_4400_4590,A10001,CPUN
EL2_4590_0001,A10001,CPUN
EL2_4590_0001,A10005,CPUN
EL2_4590_0001,A24011,CPUN
EL2_4630_0000,A10005,CPDN
EL2_4630_0000,A24011,CPUN
EL2_4630_0000,A24019,CPUN
EL2_4630_0000,A24045,CPLN
EL2_4634_0000,A10005,CPDN
EL2_4634_0000,A24019,CPUN
EL2_4634_0000,A24045,CPLN
EL2_5110_5270,A10005,CPUN
EL2_5110_5270,A24045,CPUN
EL2_5110_5270,A24047,CPDN
EL2_5270_0001,A24045,CPUN
EL2_5270_0001,A24047,CPDN
EL3_5870_0000,A24047,CPDN
EL3_5970_0000,A24039,CPLT
EL3_5970_0000,A24047,CPLN
EL3_5970_0000,A51001,CPLN
EL3_5971_0000,A24039,CPLT
EL3_5971_0000,A24047,CPLN
EL3_5972_0000,A24047,CPLN
EL3_5972_0000,A51001,CPLN
EL3_5974_0000,A24039,CPLN
EM0_4322_0000,A24011,CPDN
EM0_4322_0000,A24019,CPDN
EM0_4323_0000,A24011,CPDN
EM0_4324_0000,A24011,CPDT
EM0_4324_0000,A24041,CPDN
EM0_4327_0000,A24011,CPDT
EM0_4551_0000,A24041,CPLN
EM0_4870_0000,A24041,CPLN
EM0_4871_0000,A24041,CPLN
EM0_4874_0000,A24041,CPLN
EM0_4875_0000,A24041,CPLN
EM0_4876_0000,A24041,CPLN
EM0_4880_0000,A24019,CPDT
EM0_4881_0000,A24019,CPLT
EM0_4882_0000,A24041,CPDT
EM0_4883_0000,A24019,CPLN
EM0_4884_0000,A24019,CPLN
EM0_4885_0000,A24019,CPLN
EM0_4886_0000,A24019,CPLN
EM0_4887_0000,A24019,CPLT
EM0_4888_0000,A24019,CPLN
EM0_4889_0000,A24019,CPLN
EM0_4890_0000,A24019,CPDT
EM0_4891_0000,A24019,CPLT
EM0_5260_0000,A24019,CPLN
EM0_5261_0000,A24019,CPLT
EM0_5263_0000,A24019,CPLN
EM2_3980_0001,A10001,CPUN
EM2_3980_0001,A24011,CPUN
EM2_3980_0001,A24035,CPUN
EM2_4100_0001,A24011,CPUN
EM2_4100_0001,A24035,CPDN
EM2_4101_0000,A24011,CPDN
EM2_4101_0000,A24035,CPDN
EM2_4101_0000,A24041,CPDN
EM3_4320_0000,A24011,CPUN
EM3_4321_0000,A24011,CPDN
EM3_4325_0000,A24011,CPDN
EM3_4326_0000,A10001,CPUN
EM4_4740_0000,A24011,CPDT
EM4_4740_0000,A24041,CPDN
EU0_2940_0000,A24015,PCRN
EU0_2941_0000,A24015,CPUN
EU0_2985_0000,A24015,CPDN
EU0_3010_0000,A10003,CPDN
EU0_3010_0000,A24015,CPDN
EU0_3011_0000,A10003,CPDN
EU0_3011_0000,A24015,CPDN
EU0_3050_0000,A24015,CPDN
EU0_3130_0000,A24015,CPDN
EU0_3131_0000,A24015,CPDN
EU0_3200_0000,A24015,CPDN
EU0_3201_0000,A10003,CPDN
EU0_3201_0000,A24015,CPDN
EU0_3202_0000,A24015,CPDN
EU0_3203_0000,A24015,CPDT
EU0_3300_0000,A24015,CPDT
EU0_3301_0000,A24015,CPDT
EU0_3302_0000,A24015,CPDN
EU0_3360_0000,A24015,CPDN
EU0_3360_0000,A24029,CPDN
EU0_3361_0000,A10003,CPDN
EU0_3361_0000,A24015,CPDN
EU0_3361_0000,A24029,CPDN
EU0_3362_0000,A24015,CPDN
EU0_3362_0000,A24029,CPDN
EU0_3363_0000,A24015,CPDN
EU0_3363_0000,A24029,CPDN
EU0_3364_0000,A24015,CPDT
EU0_3570_0000,A24029,CPDN
EU0_3571_0000,A24029,CPLT
EU0_3572_0000,A24029,CPDN
EU0_3573_0000,A24029,CPDN
EU0_3700_0000,A24029,CPDN
EU0_3700_0000,A24035,CPDT
EU0_3720_0000,A24029,CPDN
EU0_3720_0000,A24035,CPDN
EU0_3721_0000,A24035,CPDN
EU0_3722_0000,A24035,CPDN
EU0_3724_0000,A24029,CPDN
EU0_3725_0000,A24029,CPDN
EU0_3830_0001,A24035,CPDN
EU0_4010_0000,A24029,CPDN
EU0_4011_0000,A24029,CPLN
EU0_4012_0000,A24029,CPDN
EU0_4013_0000,A24029,CPLN
EU0_4014_0000,A24029,CPLN
EU0_4015_0000,A24029,CPLN
EU0_4016_0000,A24029,CPLN
EU0_4030_0000,A24035,CPDN
EU0_4120_0000,A24029,CPLN
EU0_4120_0000,A24035,CPLT
EU0_4121_0000,A24035,CPLT
EU0_4122_0000,A24029,CPLN
EU0_4122_0000,A24035,CPLT
EU0_4123_0000,A24029,CPLN
EU0_4124_0000,A24035,CPLT
EU0_4125_0000,A24029,CPLN
EU0_4260_0000,A24035,CPDN
EU0_4470_0000,A24035,CPDN
EU0_4470_0000,A24041,CPDN
EU0_4471_0000,A24035,CPDN
EU0_4472_0000,A24035,CPDN
EU0_4473_0000,A24035,CPLN
EU0_4474_0000,A24035,CPLN
EU0_4474_0000,A24041,CPLT
EU0_4475_0000,A24035,CPDN
EU0_4475_0000,A24041,CPDN
EU0_4490_0000,A24035,CPLT
EU0_4491_0000,A24035,CPLT
EU0_4550_0000,A24041,CPLT
EU0_4610_0000,A24035,CPLT
EU0_4700_0000,A24041,CPLN
EU0_4872_0000,A24035,CPLN
EU0_4872_0000,A24041,CPLN
EU0_4873_0000,A24041,CPLN
EU1_2650_0001,A24015,PCRN
EU1_2650_0001,A42029,PCRN
EU1_2810_0001,A24015,PCRN
EU1_2810_0001,A42029,PCRN
EU1_2980_0000,A24015,PCRN
EU1_2980_0000,A42029,PCRN
EU1_2981_0000,A10003,CPDN
EU1_2981_0000,A24015,CPDN
EU1_2982_0000,A24015,CPDN
EU1_2983_0000,A10003,CPDN
EU1_2983_0000,A24015,CPDN
EU1_2984_0000,A24015,CPDN
EU2_3520_0001,A10001,CPUN
EU2_3520_0001,A10003,CPUN
EU2_3520_0001,A24029,CPDN
EU2_3520_0001,A24035,CPDN
GY0_3800_3801,A24023,APSN
GY0_3800_3801,A42111,APSN
GY0_3801_0000,A24023,APSN
GY0_3950_3952,A24023,APSN
GY0_3951_3952,A24023,APSN
GY0_3951_3952,A54077,VRSN
GY0_3952_0000,A24023,APSN
GY0_3952_0000,A54077,APSN
GY0_4240_3951,A24023,APSN
GY0_4530_4532,A24023,APSN
GY0_4531_4532,A24023,APSN
GY0_4531_4532,A54077,APSN
GY0_4532_3951,A24023,APSN
GY0_4532_3951,A54077,APSN
JA0_7291_7290,A51041,ML_N
JA0_7291_7290,A51145,ML_N
JA1_7600_7570,A51007,PCRN
JA1_7600_7570,A51135,PCRN
JA1_7640_7280,A51147,PCRN
JA2_7290_0001,A51041,CPUN
JA2_7290_0001,A51570,CPLN
JA2_7410_7470,A51007,PCRN
JA2_7410_7470,A51135,PCRN
JA2_7410_7470,A51147,PCRN
JA2_7550_7280,A51011,PCRN
JA2_7550_7280,A51029,PCRN
JA2_7550_7280,A51049,ML_N
JA2_7550_7280,A51147,PCRN
JA2_7570_7480,A51007,PCRN
JA2_7570_7480,A51135,PCRN
JA4_7280_7340,A51007,PCRN
JA4_7280_7340,A51049,PCRN
JA4_7280_7340,A51135,PCRN
JA4_7280_7340,A51145,PCRN
JA4_7280_7340,A51147,PCRN
JA4_7340_7470,A51007,PCRN
JA4_7340_7470,A51041,ML_N
JA4_7340_7470,A51145,ML_N
JA4_7340_7470,A51147,PCRN
JA4_7470_7480,A51007,PCRN
JA4_7470_7480,A51041,ML_N
JA5_7460_0000,A51041,CPLN
JA5_7460_0000,A51149,CPUN
JA5_7460_0000,A51670,CPUN
JA5_7480_0001,A51007,PCRN
JA5_7480_0001,A51041,PCRN
JA5_7480_0001,A51053,PCRN
JA5_7480_0001,A51135,PCRN
JA5_7520_0000,A51041,CPUN
JA5_7520_0000,A51053,CPUN
JA5_7520_0000,A51149,CPLN
JA5_7520_0000,A51570,CPLN
JA5_7520_0000,A51730,CPLN
JB0_7050_0000,A51036,CPLN
JB0_7050_0000,A51095,CPLN
JB0_7050_0000,A51127,CPLN
JB0_7051_0001,A51095,CPDN
JB0_7052_0001,A51095,CPDN
JB0_7052_0001,A51127,CPDN
JB0_7071_0000,A51041,CPDN
JB0_7071_0000,A51087,CPUN
JB0_7071_0000,A51760,CPUN
JB0_7072_0000,A51095,CPLN
JB0_7072_0000,A51181,CPLN
JB0_7072_0000,A51199,CPDN
JB0_7072_0000,A51830,CPDN
JB0_7073_0000,A51036,CPUN
JB0_7073_0000,A51041,CPLN
JB0_7073_0000,A51087,CPUN
JB0_7074_0000,A51036,CPLN
JB0_7074_0000,A51041,CPLN
JB0_7074_0000,A51149,CPDN
JB0_7074_0000,A51670,CPLN
JB0_7075_0000,A51670,CPLN
JB0_7076_0000,A51041,CPLN
JB0_7270_0000,A51036,CPLN
JB0_7270_0000,A51149,CPLN
JB0_7270_0000,A51181,CPUN
JB0_7271_0000,A51036,CPLN
JB0_7271_0000,A51181,CPUN
JB0_7381_0000,A51550,CPLN
JB0_7381_0000,A51710,CPLN
JB0_7381_0000,A51810,CPLN
JB0_7382_0000,A51550,CPLN
JB0_7382_0000,A51710,CPLN
JB0_7382_0000,A51740,CPLN
JB0_7383_0000,A51550,CPLN
JB0_7383_0000,A51740,CPLN
JB0_7383_0000,A51800,CPLN
JB0_7390_0000,A51093,CPLN
JB0_7390_0000,A51095,CPLN
JB0_7390_0000,A51181,CPLN
JB0_7390_0000,A51199,CPLN
JB0_7390_0000,A51650,CPLN
JB0_7390_0000,A51700,CPLN
JB0_7390_0000,A51740,CPLN
JB0_7390_0000,A51800,CPLN
JB0_7390_0000,A51830,CPLN
JB0_7391_0000,A51095,CPLN
JB0_7391_0000,A51199,CPLN
JB0_7392_0000,A51181,CPLN
JB0_7393_0000,A51710,CPLN
JB0_7394_0000,A51710,CPLN
JB0_7395_0000,A51740,CPLN
JB0_7396_0000,A51710,CPLN
JB0_7397_0000,A51740,CPLN
JB0_7397_0000,A51550,CPLN
JB0_7397_0000,A51710,CPLN
JB0_7398_0000,A51710,CPLN
JB0_7399_0000,A51740,CPLN
JB0_7580_0000,A51650,CPLN
JB0_7580_0000,A51700,CPLN
JB0_7580_0000,A51710,CPLN
JB0_7580_0000,A51740,CPLN
JB0_7580_0000,A51800,CPLN
JB0_7580_0000,A51550,CPLN
JB0_7660_0000,A51810,CPLN
JB0_7661_0000,A51710,CPLN
JB0_7661_0000,A51810,CPLN
JB0_7662_0000,A51810,CPLN
JB0_7760_0000,A51800,CPLN
JB1_8090_0001,A51093,CPUN
JB1_8090_0001,A51800,CPLN
JB2_7800_0001,A51093,CPUN
JB2_7800_0001,A51800,CPLN
JB3_6820_7053,A51036,CPUN
JB3_6820_7053,A51085,CPUN
JB3_6820_7053,A51087,CPUN
JB3_6820_7053,A51127,CPUN
JB3_6820_7053,A51760,CPUN
JB3_7053_0001,A51036,CPUN
JB3_7053_0001,A51127,CPLN
JL1_6560_6440,A51003,BR_N
JL1_6560_6440,A51125,PCRN
JL1_6560_6440,B51003,BR_N
JL1_6760_6910,A51003,PCRN
JL1_6760_6910,A51065,PCRN
JL1_6770_6850,A51003,PCRN
JL1_6770_6850,A51125,PCRN
JL1_6770_6850,B51003,BR_N
JL1_6770_6850,B51125,BR_N
JL1_6910_6960,A51065,PCRN
JL1_6940_7200,A51125,BR_N
JL1_6940_7200,B51125,BR_N
JL1_7080_7190,A51009,BR_N
JL1_7080_7190,A51125,BR_N
JL1_7080_7190,B51009,BR_N
JL1_7080_7190,B51125,BR_N
JL1_7170_6800,A51049,PCRN
JL1_7170_6800,A51145,PCRN
JL1_7190_7250,A51009,PCRN
JL1_7190_7250,A51125,BR_N
JL1_7200_7250,A51125,PCRN
JL1_7530_7430,A51011,PCRN
JL1_7530_7430,A51031,PCRN
JL2_6240_6520,A51003,PCRN
JL2_6240_6520,A51079,BR_N
JL2_6240_6520,A51137,PCRN
JL2_6240_6520,B51003,BR_N
JL2_6240_6520,B51079,BR_N
JL2_6440_6441,A51003,BR_N
JL2_6440_6441,B51003,BR_N
JL2_6441_6520,A51003,PCRN
JL2_6850_6890,A51003,PCRN
JL2_6850_6890,A51125,PCRN
JL2_7110_7120,A51011,PCRN
JL2_7110_7120,A51029,PCRN
JL2_7120_6970,A51029,PCRN
JL2_7240_7350,A51009,PCRN
JL2_7240_7350,A51125,PCRN
JL2_7240_7350,B51009,BR_N
JL2_7250_7090,A51009,PCRN
JL2_7250_7090,A51125,PCRN
JL2_7350_7090,A51009,PCRN
JL2_7350_7090,A51125,PCRN
JL3_7020_7100,A51029,PCRN
JL3_7020_7100,A51049,PCRN
JL3_7090_7150,A51125,PCRN
JL4_6520_6710,A51003,PCRN
JL4_6520_6710,A51065,PCRN
JL4_6520_6710,A51109,PCRN
JL4_6520_6710,A51540,PCRN
JL4_6710_6740,A51065,PCRN
JL4_6710_6740,A51109,PCRN
JL6_6740_7100,A51049,PCRN
JL6_6740_7100,A51065,PCRN
JL6_6740_7100,A51075,PCRN
JL6_6740_7100,A51109,PCRN
JL6_6890_6990,A51003,PCRN
JL6_6890_6990,A51029,PCRN
JL6_6960_6970,A51029,PCRN
JL6_6960_6970,A51065,PCRN
JL6_6970_6740,A51029,PCRN
JL6_6970_6740,A51049,PCRN
JL6_6970_6740,A51065,PCRN
JL6_6990_6960,A51029,PCRN
JL6_6990_6960,A51065,PCRN
JL6_7150_6890,A51029,PCRN
JL6_7150_6890,A51125,PCRN
JL6_7160_7440,A51009,BR_N
JL6_7160_7440,A51019,BR_N
JL6_7160_7440,B51009,BR_N
JL6_7160_7440,B51019,BR_N
JL6_7320_7150,A51011,PCRN
JL6_7320_7150,A51029,PCRN
JL6_7320_7150,A51125,PCRN
JL6_7430_7320,A51009,PCRN
JL6_7430_7320,A51011,PCRN
JL6_7430_7320,A51125,PCRN
JL6_7440_7430,A51009,PCRN
JL6_7440_7430,A51011,PCRN
JL6_7440_7430,A51031,PCRN
JL6_7440_7430,A51680,PCRN
JL6_7440_7430,B51019,PCRN
JL7_6800_7070,A51041,ML_N
JL7_6800_7070,A51075,PCRN
JL7_6800_7070,A51085,PCRN
JL7_6800_7070,A51087,PCRN
JL7_6800_7070,A51109,PCRN
JL7_6800_7070,A51145,PCRN
JL7_6800_7070,A51760,PCRN
JL7_7030_6800,A51049,PCRN
JL7_7030_6800,A51075,PCRN
JL7_7030_6800,A51145,PCRN
JL7_7070_0001,A51041,CPDN
JL7_7070_0001,A51087,PCRN
JL7_7070_0001,A51760,CPUN
JL7_7100_7030,A51049,PCRN
JL7_7100_7030,A51075,PCRN
JU1_6290_6590,A51017,VRSN
JU1_6290_6590,A51091,VRSN
JU1_6300_6650,A51017,VRSN
JU1_6300_6650,A51091,VRSN
JU1_6300_6650,B51017,VRCN
JU1_6300_6650,B51091,VRCN
JU1_6340_6650,B51017,VRSN
JU1_6340_6650,B51091,VRSN
JU1_6590_6600,A51017,VRSN
JU1_6880_7260,A51015,VRCN
JU1_6880_7260,A51163,VRCN
JU1_6880_7260,B51015,BR_N
JU1_6880_7260,B51163,BR_N
JU1_7560_7500,A51023,VRCN
JU1_7560_7500,A51045,VRSN
JU1_7630_7490,A51045,VRSN
JU1_7630_7490,A51071,VRSN
JU1_7690_7490,A51045,VRSN
JU1_7690_7490,A51121,VRSN
JU1_7690_7490,A51161,VRSN
JU1_7750_7560,A51023,VRCN
JU1_7750_7560,A51161,VRCN
JU2_6410_6640,A51163,VRSN
JU2_6410_6640,C51015,VRSN
JU2_6600_6810,A51017,VRSN
JU2_6810_6900,A51017,VRCN
JU2_7140_7330,A51005,VRSN
JU2_7140_7330,A54063,VRSN
JU2_7180_7380,A51023,VRSN
JU2_7180_7380,A51163,VRSN
JU2_7360_7000,A51005,VRSN
JU2_7450_7360,A51005,VRCN
JU2_7450_7360,A51045,VRSN
JU2_7450_7360,A51071,VRSN
JU2_7450_7360,A54063,VRSN
JU3_6380_6900,A51017,VRCN
JU3_6380_6900,A51091,VRSN
JU3_6640_6790,A51163,VRSN
JU3_6640_6790,B51017,VRCN
JU3_6640_6790,C51015,VRSN
JU3_6650_7300,A51005,VRSN
JU3_6650_7300,A51017,VRSN
JU3_6650_7300,A51023,VRSN
JU3_6650_7300,A51163,VRCN
JU3_6650_7300,B51017,VRSN
JU3_6790_7260,A51015,VRCN
JU3_6790_7260,A51163,VRCN
JU3_6790_7260,A51678,VRSN
JU3_6790_7260,C51015,VRSN
JU3_6900_6950,A51005,VRSN
JU3_6900_6950,A51017,VRSN
JU3_6950_7330,A51005,VRSN
JU3_6950_7330,A51017,VRSN
JU3_6950_7330,A51580,VRCN
JU3_7400_7510,A51005,VRSN
JU3_7400_7510,A51023,VRSN
JU3_7490_7400,A51023,VRSN
JU3_7490_7400,A51045,VRSN
JU4_7000_7300,A51005,VRSN
JU4_7000_7300,A51017,VRSN
JU4_7000_7300,A51023,VRCN
JU4_7000_7300,A51580,VRCN
JU4_7000_7300,B51017,VRSN
JU4_7260_7380,A51163,VRCN
JU4_7260_7380,A51530,VRCN
JU4_7260_7380,B51163,BR_N
JU4_7330_7000,A51005,VRSN
JU4_7330_7000,A51580,VRCN
JU4_7380_7160,A51163,VRSN
JU4_7380_7160,B51163,BR_N
JU5_7300_7510,A51005,VRCN
JU5_7300_7510,A51023,VRSN
JU5_7300_7510,A51163,VRSN
JU5_7420_7160,A51023,VRSN
JU5_7420_7160,A51163,VRCN
JU5_7420_7160,B51023,BR_N
JU5_7420_7160,B51163,BR_N
JU5_7500_7420,A51023,VRCN
JU5_7500_7420,B51023,BR_N
JU5_7510_7500,A51023,VRCN
KU0_8980_0000,A51035,VRSN
KU0_8980_0000,A51141,PCRN
KU0_8980_0000,B51035,VRSN
KU0_8980_0000,B51141,PCRN
MN0_7790_0000,A51810,CPLN
MN0_7870_0000,A51810,CPLN
MN0_8040_0000,A51550,CPLN
MN0_8040_0000,A51800,CPLN
MN0_8300_0001,A51800,CPLN
MN1_7590_7860,A51093,CPUN
MN1_7590_7860,A51181,CPUN
MN1_7620_7710,A51053,CPDN
MN1_7620_7710,A51149,CPUN
MN1_7620_7710,A51183,CPUN
MN1_7620_7710,A51730,CPUN
MN1_7730_8160,A51175,CPUN
MN1_7730_8160,A51183,CPUN
MN1_7990_8100,A51037,PCRN
MN1_7990_8100,A51111,PCRN
MN1_8240_0000,A51800,CPLN
MN2_7720_7830,A51053,PCRN
MN2_7720_7830,A51135,PCRN
MN2_7830_7950,A51053,VRSN
MN2_7830_7950,A51183,VRSN
MN2_7850_0000,A51550,CPLN
MN2_7850_0000,A51810,CPLN
MN2_8100_8190,A51037,PCRN
MN2_8100_8190,A51111,PCRN
MN2_8250_8190,A51037,PCRN
MN2_8250_8190,A51111,PCRN
MN2_8250_8190,A51117,PCRN
MN2_8530_8510,A37131,PCRN
MN2_8530_8510,A51025,PCRN
MN2_8530_8510,A51081,PCRN
MN3_7540_7680,A51053,CPLN
MN3_7540_7680,A51149,CPUN
MN3_7540_7680,A51181,CPUN
MN3_7540_7680,A51183,CPLN
MN3_7540_7680,A51730,CPDN
MN3_7680_7860,A51093,CPLN
MN3_7680_7860,A51175,CPLN
MN3_7680_7860,A51181,CPLN
MN3_7680_7860,A51183,CPLN
MN3_7770_7930,A51025,PCRN
MN3_7770_7930,A51053,PCRN
MN3_7770_7930,A51111,PCRN
MN3_7770_7930,A51135,PCRN
MN3_7770_7930,A51147,PCRN
MN3_7860_8080,A51093,CPUN
MN3_7860_8080,A51175,CPLN
MN3_7930_8010,A51025,PCRN
MN3_7930_8010,A51053,PCRN
MN3_7930_8010,A51081,PCRN
MN3_7930_8010,A51111,PCRN
MN3_7930_8010,A51183,PCRN
MN3_8010_7950,A51183,PCRN
MN3_8150_0000,A51550,CPLN
MN3_8150_0000,A51810,CPLN
MN3_8190_8260,A51025,PCRN
MN3_8190_8260,A51111,PCRN
MN3_8190_8260,A51117,PCRN
MN4_7710_8161,A51053,PCRN
MN4_7710_8161,A51149,PCRN
MN4_7710_8161,A51175,PCRN
MN4_7710_8161,A51183,PCRN
MN4_7810_8080,A51175,CPLN
MN4_7810_8080,A51181,CPUN
MN4_7810_8080,A51183,PCRN
MN4_7950_7710,A51183,PCRN
MN4_8080_8110,A51093,CPUN
MN4_8080_8110,A51175,CPLN
MN4_8080_8110,A51800,CPUN
MN4_8110_0000,A51093,CPLN
MN4_8110_0000,A51175,CPLN
MN4_8110_0000,A51620,CPLN
MN4_8110_0000,A51800,CPLN
MN4_8260_8400,A51025,PCRN
MN4_8260_8400,A51081,PCRN
MN4_8260_8400,A51111,PCRN
MN4_8260_8400,A51595,PCRN
MN4_8380_0000,A51081,PCRN
MN4_8380_0000,A51175,CPLN
MN4_8400_8380,A51081,PCRN
MN4_8400_8380,A51175,CPLN
MN4_8400_8380,A51595,PCRN
MN4_8510_8380,A37131,PCRN
MN4_8510_8380,A51025,PCRN
MN4_8510_8380,A51081,PCRN
MN5_8160_0000,A51175,PCRN
MN5_8160_0000,A51620,PCRN
MN5_8161_8160,A51175,PCRN
MN5_8230_8161,A51025,PCRN
MN5_8230_8161,A51081,PCRN
MN5_8230_8161,A51175,PCRN
MN5_8230_8161,A51183,PCRN
MN5_8230_8161,A51595,PCRN
NR0_8310_0000,A51185,PCRN
NR0_8310_0000,B51185,PCRN
NR1_7880_8050,A51071,VRSN
NR1_7880_8050,A54063,VRSN
NR1_7880_8050,B51071,VRSN
NR1_8030_8051,A51071,VRSN
NR1_8030_8051,A54063,APSN
NR1_8030_8051,B51071,VRSN
NR1_8820_8760,A51173,PCRN
NR1_8820_8760,A51197,PCRN
NR1_8820_8760,B51077,PCRN
NR1_8820_8760,B51173,PCRN
NR1_8820_8760,B51197,PCRN
NR1_8960_8870,A51077,PCRN
NR1_8960_8870,B51077,PCRN
NR1_9030_9080,A51077,PCRN
NR1_9030_9080,B51077,PCRN
NR1_9150_9050,A37005,BR_N
NR1_9150_9050,A51077,PCRN
NR1_9150_9050,B37005,BR_N
NR2_8210_8180,A51021,PCRN
NR2_8210_8180,A51185,PCRN
NR2_8210_8180,B51071,VRSN
NR2_8210_8180,C51071,VRSN
NR2_8600_8700,A51173,PCRN
NR2_8600_8700,A51197,PCRN
NR2_9250_9170,A37009,BR_N
NR2_9250_9170,A37189,BR_N
NR2_9250_9170,B37009,BR_N
NR3_8290_8170,A51021,PCRN
NR3_8290_8170,A51155,PCRN
