riverseg,Total EOF Loads (lbs/yr) ***
JB0_7051_0001,15985.2367
JB0_7052_0001,142476.8899
JB3_7053_0001,208478.665
JB0_7071_0000,1098961.783
JB0_7072_0000,657681.2078
JB0_7073_0000,526849.3759
JB0_7074_0000,791000.47
JB0_7270_0000,642804.0835
JB0_7390_0000,1537500.665
JB0_7580_0000,1667890.37
JB0_7660_0000,640141.1031
JB0_7760_0000,570424.7398
JB1_8090_0001,545942.7279
JB2_7800_0001,593251.6772
JB3_6820_7053,1601126.707
JL7_7070_0001,241153.6079
JL1_6560_6440,388623.0909
JL1_6760_6910,449566.4492
JL1_6770_6850,267878.0866
JL1_6910_6960,91335.49509
JL1_6940_7200,273469.3055
JL1_7080_7190,123439.0795
JL1_7170_6800,266995.3914
JL1_7190_7250,104875.3711
JL1_7200_7250,55616.66143
JL1_7530_7430,368233.6607
JL2_6240_6520,783183.0638
JL2_6440_6441,407763.005
JL2_6441_6520,246069.7214
JL2_6850_6890,362751.9691
JL2_7110_7120,642995.3808
JL2_7120_6970,60947.02751
JL2_7240_7350,537162.9081
JL2_7250_7090,79780.79951
JL2_7350_7090,17927.81361
JL3_7020_7100,1045009.137
JL3_7090_7150,193680.4072
JL4_6520_6710,952205.5648
JL4_6710_6740,239412.9645
JL6_6740_7100,446694.3896
JL6_6890_6990,367894.6744
JL6_6960_6970,82376.34774
JL6_6970_6740,200804.2495
JL6_6990_6960,70207.06867
JL6_7150_6890,181760.6205
JL6_7160_7440,509881.4638
JL6_7320_7150,195212.2063
JL6_7430_7320,191280.4466
JL6_7440_7430,1199971.966
JL7_6800_7070,1639651.265
JL7_7030_6800,225688.1096
JL7_7100_7030,16113.92182
JU1_6290_6590,147584.7175
JU1_6300_6650,282278.0392
JU1_6340_6650,153165.2482
JU1_6590_6600,29435.07372
JU1_6880_7260,519296.0081
JU1_7560_7500,362071.8947
JU1_7630_7490,212144.2851
JU1_7690_7490,250998.273
JU1_7750_7560,109683.4382
JU2_6410_6640,500052.7358
JU2_6600_6810,105479.0015
JU2_6810_6900,11884.22312
JU2_7140_7330,332227.3089
JU2_7180_7380,543471.4974
JU2_7360_7000,38675.69606
JU2_7450_7360,304237.3089
JU3_6380_6900,406487.212
