river,N attenuation ***
PM1_4250_4500,0.902520912
PM1_4430_4200,0.835770678
PM1_4500_4580,0.971188376
PM2_2860_3040,0.847471433
PM2_3400_3340,0.993046239
PM2_4860_4670,0.873777394
PM3_3040_3340,0.961600124
PM3_4660_4620,0.93184344
PM3_4670_4660,0.936915534
PM4_3340_3341,0.953733798
PM4_3341_4040,0.982920673
PM4_4040_4410,0.959831718
PM7_4150_4290,0.993024852
PM7_4200_4410,0.995114503
PM7_4290_4200,0.998423228
PM7_4410_4620,0.99195219
PM7_4580_4820,0.956818837
PM7_4620_4580,0.980604078
PM7_4820_0001,0.986988346
PS0_6150_6160,0.933463315
PS0_6160_6161,0.926031373
PS1_4790_4830,0.841595641
PS1_4830_5080,0.932296656
PS2_5550_5560,0.889211863
PS2_5560_5100,0.913031149
PS2_6420_6360,0.973785896
PS2_6490_6420,0.956532656
PS2_6660_6490,0.969561984
PS2_6730_6660,0.887677331
PS3_5100_5080,0.832810077
PS3_5990_6161,0.94154654
PS3_6161_6280,0.992286036
PS3_6280_6230,0.970242209
PS3_6460_6230,0.794171944
PS4_5080_4380,0.968297593
PS4_5840_5240,0.923196108
PS4_6230_6360,0.987762382
PS4_6360_5840,0.991395739
PS5_4370_4150,0.993401829
PS5_4380_4370,0.928310803
PS5_5200_4380,0.991355296
PS5_5240_5200,0.91737279
PU0_3000_3090,0.926437292
PU0_3601_3602,0.892228778
PU0_3611_3530,0.933384969
PU0_3751_3752,0.896936178
PU0_3871_3690,0.835025094
PU0_5620_5380,0.937118025
PU0_6080_5620,0.917125189
PU1_3030_3440,0.830128552
PU1_3100_3690,0.821584019
PU1_3170_3580,0.832205176
PU1_3580_3780,0.923007514
PU1_3850_4190,0.90496798
PU1_3940_3970,0.909939346
PU1_4190_4300,0.981290402
PU1_4300_4440,0.98466651
PU1_4760_4450,0.97883361
PU1_4840_4760,0.857595416
PU1_5380_5050,0.931640817
PU1_5520_5210,0.877139067
PU1_5820_5380,0.874707873
PU2_2790_3290,0.855984168
PU2_2840_3080,0.758507314
PU2_3080_3640,0.955075774
PU2_3090_4050,0.900902086
PU2_3140_3680,0.884010928
PU2_3180_3370,0.871749972
PU2_3370_4020,0.849573073
PU2_3630_3590,0.780784665
PU2_3770_3600,0.766056888
PU2_3900_3750,0.929065672
PU2_4050_4180,0.984769952
PU2_4160_3930,0.944003133
PU2_4220_3900,0.883449793
PU2_4340_3860,0.747219507
PU2_4360_4160,0.835289209
PU2_4720_4750,0.940396575
PU2_4730_4220,0.834944657
PU2_4750_4450,0.987163479
PU2_5190_4310,0.901650093
PU2_5700_5210,0.866093861
PU2_6050_5190,0.909486099
PU3_2510_3290,0.848420473
PU3_3290_3390,0.96361666
PU3_3390_3730,0.961711879
PU3_3680_3890,0.984969992
PU3_3860_3610,0.889135102
PU3_4280_3860,0.761045631
PU3_4450_4440,0.982953159
PU3_5210_5050,0.942003742
PU4_3780_3930,0.984061657
PU4_3890_3990,0.997135148
PU4_3970_3890,0.942948489
PU4_3990_3780,0.996971742
PU4_4210_4170,0.975336385
PU4_4310_4210,0.91655138
PU4_4440_3970,0.920101288
PU4_5050_4310,0.950227461
PU5_3930_4170,0.985836444
PU5_4170_4020,0.995979645
PU6_3440_3590,0.994267488
PU6_3530_3440,0.998393593
PU6_3590_3640,0.997404357
PU6_3600_3602,0.982120283
PU6_3602_3730,0.988266139
PU6_3610_3530,0.980404378
PU6_3640_3600,0.994522603
PU6_3690_3610,0.995908045
PU6_3730_3750,0.991668026
PU6_3750_3752,0.985978032
PU6_3752_4080,0.985766971
PU6_3870_3690,0.947614628
PU6_4020_3870,0.993453186
PU6_4080_4180,0.996877542
PU6_4180_4150,0.990887302
RL0_6540_0001,0.903853713
RL1_6180_0001,0.923090165
RU2_5220_5640,0.84712519
RU2_5500_5610,0.897925452
RU2_5810_5610,0.873164281
RU2_5940_6200,0.89407542
RU2_6090_6220,0.902718597
RU2_6200_6170,0.992526833
RU2_6220_6170,0.915878502
RU3_5610_5640,0.961537926
RU3_6170_6040,0.976059725
RU4_5640_6030,0.947075986
RU4_6040_6030,0.934250338
RU5_6030_0001,0.981677573
SJ1_2280_2450,0.841238501
SJ2_1900_1930,0.906164207
SJ2_2110_2170,0.822414611
SJ2_2150_2130,0.855876314
SJ2_2500_2450,0.972202451
SJ2_2530_2820,0.879929182
SJ2_2570_2660,0.913632248
SJ2_2580_2500,0.830945601
SJ2_2820_2740,0.982721083
SJ2_2900_2740,0.871047342
SJ3_1980_2060,0.980890711
SJ3_2040_1980,0.921994039
SJ3_2160_2170,0.846592228
SJ3_2170_1970,0.995399404
SJ3_2230_2060,0.905068137
SJ3_2250_2230,0.910558216
SJ3_2450_2120,0.958767872
SJ4_2010_2210,0.992050869
SJ4_2060_2010,0.916747104
SJ4_2340_2210,0.990460046
SJ4_2360_2340,0.921236388
SJ4_2660_2360,0.98051002
SJ4_2740_2660,0.923955709
SJ5_2120_1930,0.962670335
SJ5_2210_2320,0.992312888
SJ5_2320_2120,0.99156052
SJ6_1930_1970,0.978630604
SJ6_1970_2130,0.979881711
SJ6_2130_2050,0.985067021
SL0_2180_2220,0.959314497
SL0_2220_2140,0.981762646
SL0_2721_2720,0.895629694
SL0_2831_2830,0.768947144
SL1_1700_1780,0.93823937
SL1_1730_1700,0.92073093
SL1_1790_1840,0.868317603
SL1_2000_2090,0.902178011
SL1_2190_2350,0.917221896
SL1_2390_2420,0.871061598
SL1_2670_2370,0.919543165
SL1_2760_2730,0.960654935
SL1_2770_2730,0.923057431
SL1_2830_2760,0.959961895
SL2_1670_1880,0.854043252
SL2_1810_2030,0.870160312
SL2_1850_1990,0.954145846
SL2_1990_2070,0.965332032
SL2_2070_2090,0.9775993
SL2_2200_2350,0.904478495
SL2_2300_2520,0.903824156
SL2_2410_2700,0.882084718
SL2_2480_0001,0.872760493
SL2_2540_2370,0.851617235
SL2_2750_2720,0.881867103
SL2_2910_3060,0.903144191
SL2_3060_0001,0.92284196
SL3_1710_1740,0.858386351
SL3_1740_1840,0.95295586
SL3_1840_1880,0.996724545
SL3_1960_2080,0.801100075
SL3_2260_2050,0.960723514
SL3_2290_2260,0.863693383
SL3_2350_2470,0.980847068
SL3_2400_2440,0.862806424
SL3_2420_2700,0.88324957
SL3_2440_2380,0.990789589
SL3_2460_2430,0.832799214
SL3_2470_2420,0.984573401
SL3_2550_2490,0.964871408
SL3_2730_2550,0.993122887
SL4_2090_2100,0.979731571
SL4_2100_2140,0.987302599
SL4_2140_2240,0.986615184
SL4_2240_2310,0.972493267
SL4_2330_2270,0.964739186
SL4_2370_2330,0.880711331
SL8_1760_1780,0.998421279
SL8_1780_1880,0.996681538
SL8_1880_2030,0.995164777
SL8_2030_2080,0.997224575
SL8_2080_2050,0.994800189
SL9_2050_2270,0.992081539
SL9_2270_2380,0.998538729
SL9_2310_2430,0.998725957
SL9_2380_2310,0.996876924
SL9_2430_2490,0.99801028
SL9_2490_2520,0.998339658
SL9_2520_2700,0.995926221
SL9_2700_2720,0.998939518
SL9_2720_0001,0.996340294
SU1_0050_0090,0.877400897
SU1_0060_0190,0.872673487
SU1_0080_0210,0.866137527
SU1_0200_0270,0.963780003
SU1_0330_0560,0.860199335
SU1_0380_0400,0.934708901
SU1_0390_0560,0.878833593
SU1_0410_0480,0.930953137
SU1_0660_0710,0.911513954
SU1_0820_0740,0.924623184
SU1_0840_0831,0.927526946
SU1_0940_0900,0.88972606
SU1_1480_1500,0.893575524
SU1_1630_1610,0.896651377
SU2_0020_0140,0.875108152
SU2_0030_0140,0.982083647
SU2_0040_0180,0.881874501
SU2_0070_0090,0.921079835
SU2_0100_0230,0.883847051
SU2_0110_0240,0.894297726
SU2_0120_0260,0.907269298
SU2_0130_0250,0.927441154
SU2_0150_0220,0.895883507
SU2_0160_0260,0.93621582
SU2_0210_0300,0.93376561
SU2_0280_0430,0.906343135
SU2_0290_0291,0.91858768
SU2_0291_0320,0.98325835
SU2_0320_0340,0.97928106
SU2_0360_0460,0.977744778
SU2_0440_0550,0.926996294
SU2_0450_0720,0.8377187
SU2_0470_0590,0.905521329
SU2_0510_0570,0.930569437
SU2_0560_0590,0.981607037
SU2_0570_0580,0.963190562
SU2_0620_0580,0.887869795
SU2_0640_0630,0.86877498
SU2_0670_0810,0.919232024
SU2_0680_0610,0.914048439
SU2_0700_0860,0.89879571
SU2_0740_0741,0.930549369
SU2_0741_0690,0.972939753
SU2_0760_0960,0.895081904
SU2_0780_0710,0.921217819
SU2_0800_0850,0.867307638
SU2_0830_0831,0.980929778
SU2_0890_0900,0.870507551
SU2_0900_0870,0.994941052
SU2_0920_0830,0.901616851
SU2_0990_0950,0.895702868
SU2_1020_0980,0.894154661
SU2_1200_1310,0.907755947
SU2_1210_1310,0.903736799
SU2_1290_1500,0.897529267
SU2_1550_1620,0.873294099
SU3_0010_0190,0.887684811
SU3_0090_0170,0.988144536
SU3_0140_0180,0.975656726
SU3_0170_0270,0.959355937
SU3_0180_0230,0.968704357
SU3_0190_0300,0.94825335
SU3_0240_0350,0.969373716
SU3_0370_0490,0.907910275
SU3_0490_0530,0.962824764
SU3_0590_0540,0.99201025
SU3_0710_0910,0.961167181
SU3_0770_0690,0.985718997
SU3_0790_0770,0.990076638
SU3_0810_0970,0.940760694
SU3_0831_0790,0.977054284
SU3_0870_0730,0.978849105
SU3_0910_1010,0.991031798
SU3_0970_1120,0.95078435
SU3_1280_1590,0.974734563
SU3_1310_1280,0.987211552
SU3_1500_1420,0.97157934
SU4_0220_0250,0.986078895
SU4_0230_0220,0.992079239
SU4_0250_0340,0.971936518
SU4_0260_0350,0.95001504
SU4_0270_0430,0.942657864
SU4_0300_0310,0.981337999
SU4_0350_0420,0.980363117
SU4_0430_0420,0.988317701
SU4_0580_0630,0.891340608
SU4_0630_0650,0.984678818
SU4_0690_0650,0.98004924
SU5_0310_0400,0.990281029
SU5_0340_0310,0.986058878
SU5_0400_0460,0.99450182
SU5_0420_0500,0.978116872
SU5_0460_0480,0.990570713
SU5_0530_0610,0.960824646
SU5_0600_0750,0.978653186
SU5_0610_0600,0.985038652
SU5_0650_0530,0.9880313
SU7_0750_0850,0.991693847
SU6_0480_0520,0.955753069
SU6_0500_0550,0.98823809
SU6_0520_0500,0.988120063
SU7_0540_0720,0.983596203
SU7_0550_0540,0.988464325
SU7_0720_0750,0.995830465
SU7_0730_0860,0.98727625
SU7_0850_0730,0.997262683
SU7_0860_0960,0.987299117
SU7_0950_1010,0.992196554
SU7_0960_0950,0.998037933
SU7_0980_1120,0.983958528
SU7_1010_0980,0.998526653
SU7_1120_1140,0.992526599
SU7_1140_1420,0.983808247
SU7_1420_1590,0.99141292
SU8_1530_1760,0.991911719
SU8_1590_1620,0.999020459
SU8_1610_1530,0.996641334
SU8_1620_1610,0.998111632
SW0_1520_1600,0.934614498
SW1_1160_1260,0.931991544
SW1_1170_1270,0.929897289
SW1_1180_1190,0.926135231
SW1_1450_1510,0.938372239
SW1_1510_1680,0.903631842
SW1_1560_1460,0.851853964
SW1_1570_1640,0.911096409
SW1_1830_1690,0.981374793
SW1_1890_1830,0.971085162
SW1_1910_1890,0.94035956
SW2_0880_0930,0.930842808
SW2_1000_1110,0.92397398
SW2_1030_1060,0.92777343
SW2_1050_0930,0.920748762
SW2_1070_1060,0.921327052
SW2_1100_1130,0.906392918
SW2_1190_1410,0.920734418
SW2_1240_1270,0.92733828
SW2_1360_1430,0.904592521
SW2_1770_1690,0.881341323
SW2_1950_1940,0.908577376
SW2_2020_1940,0.886876143
SW3_0930_1110,0.919293889
SW3_1040_1220,0.932760605
SW3_1060_1260,0.939651368
SW3_1080_1350,0.911753793
SW3_1090_1091,0.931705244
SW3_1091_1380,0.995140457
SW3_1130_1390,0.994329452
SW3_1220_1320,0.950293239
SW3_1250_1340,0.916073053
SW3_1270_1370,0.972366406
SW3_1370_1430,0.974600341
SW3_1380_1490,0.977654108
SW3_1390_1330,0.989078065
SW3_1580_1440,0.958654227
SW3_1600_1580,0.96620735
SW3_1660_1580,0.993841662
SW3_1690_1660,0.940751682
SW3_1750_1540,0.908018687
SW3_1800_1650,0.983636244
SW3_1870_1800,0.883434002
SW3_1920_1750,0.933663873
SW4_1110_1150,0.986096594
SW4_1150_1350,0.95978093
SW4_1260_1300,0.980034309
SW4_1430_1490,0.993122878
SW4_1490_1400,0.979895939
SW4_1720_1650,0.975837009
SW4_1860_1720,0.986271007
SW4_1940_1860,0.989256463
SW5_1350_1470,0.978736153
SW5_1540_1400,0.970091323
SW5_1650_1540,0.943320975
SW6_1230_1440,0.97279235
SW6_1330_1230,0.994379955
SW6_1400_1330,0.993767136
SW6_1440_1470,0.993475556
SW7_1300_1410,0.994799115
SW7_1320_1300,0.995342843
SW7_1340_1320,0.990221181
SW7_1410_1460,0.991156943
SW7_1460_1640,0.995281554
SW7_1470_1340,0.996503358
SW7_1640_1680,0.997684124
SW7_1680_1760,0.996503385
TU1_8570_8680,0.826405135
TU1_9010_9290,0.812431894
TU1_9220_9200,0.891102123
TU2_8790_9070,0.824513494
TU2_8860_9000,0.883829022
TU2_8950_9040,0.923594554
TU2_8970_9280,0.845528479
TU2_9070_9090,0.94488018
TU2_9100_9200,0.919349283
TU2_9200_9180,0.990964733
TU3_8480_8680,0.851506469
TU3_8650_8800,0.881658172
TU3_8880_9230,0.849407796
TU3_9040_9180,0.930406645
TU3_9060_9230,0.94203484
TU3_9180_9090,0.987337265
TU3_9230_9260,0.971737126
TU4_8680_8810,0.944620567
TU4_8800_9290,0.869121976
TU4_8810_9000,0.940355362
TU5_9000_9280,0.944764934
WM0_3650_0001,0.966183238
WM0_3740_0001,0.913941954
WM0_3881_3880,0.312849398
WM1_3660_3910,0.916147713
WM1_3882_3880,0.881340981
WM1_3910_0001,0.931801101
WM3_3880_4060,0.930204457
WM3_4060_0001,0.920934958
WU0_3021_3020,0.827484943
WU0_3250_0001,0.886592804
WU0_3670_0001,0.916426583
WU1_3240_3331,0.912539946
WU1_3330_0001,0.926727505
WU1_3331_3330,0.945022859
WU1_3350_3490,0.907454169
WU1_3482_0001,0.873905671
WU1_3490_3480,0.978817039
WU2_3020_3320,0.924259439
WU2_3320_3480,0.981354717
WU3_3480_3481,0.920495219
WU3_3481_0001,0.942923764
XL0_5320_0001,0.962543819
XL1_4690_0001,0.872661684
XU0_4090_4270,0.86380388
XU0_4091_4270,0.85269104
XU0_4130_4070,0.92930288
XU2_4070_4330,0.966870604
XU2_4270_4650,0.940604605
XU2_4330_4480,0.673092306
XU2_4480_4650,0.706940326
XU3_4650_0001,0.988963643
YL2_6580_0001,0.883221571
YM1_6370_6620,0.897365731
YM2_6120_6430,0.81756087
YM3_6430_6620,0.927363741
YM4_6620_0001,0.981282845
YP0_6840_0001,0.950057766
YP0_6860_6840,0.831809667
YP1_6570_6680,0.81678604
YP1_6680_6670,0.921848874
YP2_6390_6330,0.616656132
YP3_6330_6700,0.900309044
YP3_6470_6690,0.892794035
YP3_6670_6720,0.994973418
YP3_6690_6720,0.95997944
YP3_6700_6670,0.992655452
YP4_6720_6750,0.983514751
YP4_6750_0001,0.972588404
