river,P attenuation ***
XU2_4330_4480,0.465802175
XU2_4480_4650,0.71008311
XU3_4650_0001,0.993362731
YL2_6580_0001,0.928200505
YM1_6370_6620,0.93709083
YM2_6120_6430,0.88050095
YM3_6430_6620,0.955387259
YM4_6620_0001,0.988727296
YP0_6840_0001,0.96972816
YP0_6860_6840,0.895394409
YP1_6570_6680,0.883558123
YP1_6680_6670,0.935222879
YP2_6390_6330,0.164434872
YP3_6330_6700,0.938933788
YP3_6470_6690,0.916035899
YP3_6670_6720,0.996404021
YP3_6690_6720,0.974971979
YP3_6700_6670,0.995046241
YP4_6720_6750,0.990075986
YP4_6750_0001,0.983461702
