riverseg,Additional EOS Loads (lbs/yr) ***
OD3_8340_8520,249.28791
OD3_8520_8621,14.90898
OD3_8630_8720,1874.211666
OD3_8710_8470,42388.85095
OD3_8720_8900,3009.0327
OD3_8850_8931,265.925898
OD3_8930_8931,190.53296
OD3_9020_9110,7666.54927
OD4_8990_8900,5517.7634
OD4_9110_9140,68243.8005
OD4_9140_8990,4982.07722
OD5_8770_8780,16585.4424
OD5_8780_8660,739.73014
OD5_8890_8770,46.82347
OD5_8900_8770,13816.88962
OD5_8940_8780,9201.98
OD6_8660_8621,147.6377
OR1_7700_7980,8.401699
OR1_8280_8020,26.1221141
OR1_8320_8271,10.0476283
OR2_7610_7780,380.74241
OR2_7650_8070,17.596977
OR2_7670_7840,691.42291
OR2_7780_7890,434.4817
OR2_7840_7970,780.533197
OR2_7900_7740,1023.9322
OR2_8020_8130,4.144481
OR2_8070_8120,11.006391
OR2_8130_7900,259.841906
OR2_8450_8490,25.7423
OR2_8460_8271,75.40424
OR3_7740_8271,802.12434
OR4_8120_7890,307.56049
OR4_8271_8120,8384.74842
OR5_7890_7970,2089.62219
OR5_7910_8410,88.77778
OR5_7970_8200,152.22103
OR5_7980_8200,6.24829
OR5_8200_8370,48.43042
OR5_8370_8410,215.322515
OR5_8410_8470,248.473913
OR7_8470_8490,179180.1926
OR7_8490_0000,0
PL0_4510_0001,62.418368
PL0_4961_0000,45.20959
PL0_5000_0001,1561.99492
PL0_5010_5130,43.03317
PL0_5070_0001,345.1233
PL0_5090_0000,5049.08539
PL0_5131_0000,15409.687
PL0_5141_5140,490.12557
PL3_5250_0001,5070.2987
PL0_5251_0000,8690.960607
PL0_5290_0000,57.588792
PL0_5390_0000,5736.5052
PL0_5440_0000,2246.1475
PL0_5450_0000,134.54614
PL0_5490_0001,0.508977
PL0_5491_0000,462.16503
PL0_5510_0001,490.71701
PL0_5530_5710,45.58705
PL0_5540_5490,0
PL0_5580_0000,132.7971
PL0_5581_0000,15250.67114
PL0_5582_0000,21.8025
PL0_5583_0000,1.982046
PL0_5584_0000,91.62973
PL0_5585_0000,31.71273
PL0_5670_0000,289.53923
PL0_5671_0000,629.79601
PL0_5672_0000,4.18682
PL0_5710_0001,20.87513
PL0_5720_0001,0
PL0_5730_5690,6.6035385
PL0_5750_0001,101.48913
PL0_5790_0000,422.2099
PL0_5830_0001,6.28023
PL0_5850_0000,1230.984583
PL0_5860_0000,3.964092
PL0_5900_0000,348.44988
PL0_5920_0000,4359.06183
PL0_5930_0000,27.74864
PL0_5950_0000,75.36276
PL0_5951_0000,20.9341
PL0_5952_0000,0
PL0_5960_0000,2724.8097
PL0_5961_0000,0
PL0_5962_0000,0
PL0_5980_0000,419.4011
PL0_5981_0000,23.02751
PL0_5982_0000,31.40115
PL0_5983_0000,148.6321
PL0_6020_0000,32.660338
PL0_6060_0000,280.1035
PL0_6100_0000,6197.562976
PL0_6110_0000,440.2837
PL0_6130_0000,65.28103
PL0_6140_0000,57.77872
PL0_6270_0000,123.9125
PL1_4460_4780,894.358484
PL1_4540_0001,2502.17755
PL1_4780_0001,637.2364
PL1_5060_0000,36.16767
PL1_5061_0000,7408.68818
PL1_5130_0001,602.4644
PL1_5230_0001,122.23186
PL1_5370_5470,52.96224
PL1_5690_0001,103.3387
PL1_5910_0001,354.8699
PL2_4810_0000,1543.86409
PL2_4945_0004,538.1107
PL2_4970_5250,4588.792508
PL2_5140_5360,130.849065
PL2_5300_5630,205.7642
PL2_5470_5360,14.335238
PL2_5630_0001,0
PL2_5800_0000,61.02364
PL3_5360_5250,42.2451
PL7_4910_0000,524.00167
PL7_4940_0000,2169.7609
PL7_4960_0000,150526.8093
PL7_4980_0000,728.46171
PM0_4640_4820,1.533496
PM1_3120_3400,46.443147
PM1_3450_3400,15393.34577
PM1_3510_4000,4251.80627
PM1_3710_4040,2504.211277
PM1_4000_4290,3592.41715
PM1_4250_4500,23460.7852
PM1_4430_4200,11.20428
