 seg, sgtf_conc1N
 NR5_8870_8760,  1.01784718
 NR5_9050_8870,  0.884353697
 NR5_9080_9050,  0.884353697
 NR6_7820_7960,  1.4693476
 NR6_7960_8050,  1.4693476
 NR6_8000_0000, -999.
 NR6_8050_8051,  1.4693476
 NR6_8051_8000,  1.4693476
 NR6_8170_7960,  1.4693476
 NR6_8180_8051,  1.4693476
 NR6_8500_7820,  1.4693476
 NR6_8640_8500,  1.01784718
 OD0_8621_8470, -999.
 OD0_8931_9140, -999.
 OD1_8910_8930,  0.586550295
 OD1_9270_9110, -999.
 OD2_8560_8630, -999.
 OD2_8670_8890,  0.369204044
 OD2_8830_8710, -999.
 OD2_8840_9020, -999.
 OD2_8920_8830, -999.
 OD3_8340_8520, -999.
 OD3_8520_8621, -999.
 OD3_8630_8720, -999.
 OD3_8710_8470, -999.
 OD3_8720_8900, -999.
 OD3_8850_8931,  0.513950109
 OD3_8930_8931, -999.
 OD3_9020_9110, -999.
 OD4_8990_8900, -999.
 OD4_9110_9140, -999.
 OD4_9140_8990, -999.
 OD5_8770_8780, -999.
 OD5_8780_8660, -999.
 OD5_8890_8770, -999.
 OD5_8900_8770, -999.
 OD5_8940_8780, -999.
 OD6_8660_8621, -999.
 OR1_7700_7980, -999.
 OR1_8280_8020, -999.
 OR1_8320_8271,  1.00553513
 OR2_7610_7780, -999.
 OR2_7650_8070,  0.452362329
 OR2_7670_7840,  0.477589965
 OR2_7780_7890, -999.
 OR2_7840_7970, -999.
 OR2_7900_7740, -999.
 OR2_8020_8130, -999.
 OR2_8070_8120, -999.
 OR2_8130_7900, -999.
 OR2_8450_8490, -999.
 OR2_8460_8271,  0.613317728
 OR3_7740_8271, -999.
 OR4_8120_7890, -999.
 OR4_8271_8120, -999.
 OR5_7890_7970, -999.
 OR5_7910_8410, -999.
 OR5_7970_8200, -999.
 OR5_7980_8200, -999.
 OR5_8200_8370, -999.
 OR5_8370_8410, -999.
 OR5_8410_8470, -999.
 OR7_8470_8490, -999.
 OR7_8490_0000, -999.
 PL0_4510_0001,  0.99816519
 PL0_4961_0000, -999.
 PL0_5000_0001, -999.
 PL0_5010_5130,  0.451467246
 PL0_5070_0001, -999.
 PL0_5090_0000, -999.
