land,for,hvf,rpd,npd,cpd,rcn,ccn,rex,nex,cex,pas,trp,urs,alf,hyw,hyo,hom,hwm,lwm,nhy,npa,nal ,nho,nhi,nlo,afo,cfo,rid,nid,cid
A24033,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.99,35.88,28.41,5.7,5.7,5.7,22.28,22.28,13.37,5.7,2.99,5.7,22.28,22.28,13.37,28.41,28.41,5.18,5.18,5.18
A24035,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,1.11,1.11,1.11,4.33,4.33,2.6,1.11,0.16,1.11,4.33,4.33,2.6,1.52,1.52,5.18,5.18,5.18
A24037,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.28,3.36,2.66,2,2,2,7.83,7.83,4.7,2,0.28,2,7.83,7.83,4.7,2.66,2.66,5.18,5.18,5.18
A24039,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.54,0.54,0.54,2.09,2.09,1.26,0.54,0.03,0.54,2.09,2.09,1.26,0.29,0.29,5.18,5.18,5.18
A24041,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.56,0.56,0.56,2.17,2.17,1.3,0.56,0.03,0.56,2.17,2.17,1.3,0.29,0.29,5.18,5.18,5.18
A24043,0.31,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.28,15.36,12.16,1.6,1.6,1.6,6.24,6.24,3.74,1.6,1.28,1.6,6.24,6.24,3.74,12.16,12.16,5.18,5.18,5.18
A24045,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,0.72,0.72,0.72,2.8,2.8,1.68,0.72,0.16,0.72,2.8,2.8,1.68,1.52,1.52,5.18,5.18,5.18
A24047,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.27,3.24,2.57,0.8,0.8,0.8,3.14,3.14,1.89,0.8,0.27,0.8,3.14,3.14,1.89,2.57,2.57,5.18,5.18,5.18
A24510,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.27,3.24,2.57,0.8,0.8,0.8,3.14,3.14,1.89,0.8,0.27,0.8,3.14,3.14,1.89,2.57,2.57,5.18,5.18,5.18
A36003,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.98,11.76,9.31,0.67,0.67,0.67,2.63,2.63,1.58,0.67,0.98,0.67,2.63,2.63,1.58,9.31,9.31,5.18,5.18,5.18
A36007,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,0.66,0.66,0.66,2.56,2.56,1.54,0.66,0.17,0.66,2.56,2.56,1.54,1.62,1.62,5.18,5.18,5.18
A36015,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.57,6.84,5.42,1.05,1.05,1.05,4.11,4.11,2.46,1.05,0.57,1.05,4.11,4.11,2.46,5.42,5.42,5.18,5.18,5.18
A36017,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.38,4.56,3.61,1.14,1.14,1.14,4.46,4.46,2.68,1.14,0.38,1.14,4.46,4.46,2.68,3.61,3.61,5.18,5.18,5.18
A36023,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.18,2.16,1.71,0.8,0.8,0.8,3.14,3.14,1.88,0.8,0.18,0.8,3.14,3.14,1.88,1.71,1.71,5.18,5.18,5.18
A36025,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.41,4.92,3.9,0.88,0.88,0.88,3.44,3.44,2.06,0.88,0.41,0.88,3.44,3.44,2.06,3.9,3.9,5.18,5.18,5.18
A36043,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.31,3.72,2.95,1.44,1.44,1.44,5.62,5.62,3.37,1.44,0.31,1.44,5.62,5.62,3.37,2.95,2.95,5.18,5.18,5.18
A36051,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.55,6.6,5.23,1.27,1.27,1.27,4.96,4.96,2.97,1.27,0.55,1.27,4.96,4.96,2.97,5.23,5.23,5.18,5.18,5.18
A36053,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,1.12,1.12,1.12,4.38,4.38,2.63,1.12,0.17,1.12,4.38,4.38,2.63,1.62,1.62,5.18,5.18,5.18
A36065,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.22,2.64,2.09,1.03,1.03,1.03,4.01,4.01,2.4,1.03,0.22,1.03,4.01,4.01,2.4,2.09,2.09,5.18,5.18,5.18
A36067,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,0.91,0.91,0.91,3.54,3.54,2.13,0.91,0.08,0.91,3.54,3.54,2.13,0.76,0.76,5.18,5.18,5.18
A36069,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1,12,9.5,0.83,0.83,0.83,3.26,3.26,1.95,0.83,1,0.83,3.26,3.26,1.95,9.5,9.5,5.18,5.18,5.18
A36077,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.32,27.84,22.04,1.04,1.04,1.04,4.05,4.05,2.43,1.04,2.32,1.04,4.05,4.05,2.43,22.04,22.04,5.18,5.18,5.18
A36095,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.35,4.2,3.33,1,1,1,3.9,3.9,2.34,1,0.35,1,3.9,3.9,2.34,3.33,3.33,5.18,5.18,5.18
A36097,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.42,5.04,3.99,0.5,0.5,0.5,1.97,1.97,1.18,0.5,0.42,0.5,1.97,1.97,1.18,3.99,3.99,5.18,5.18,5.18
A36101,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.29,3.48,2.76,0.98,0.98,0.98,3.82,3.82,2.29,0.98,0.29,0.98,3.82,3.82,2.29,2.76,2.76,5.18,5.18,5.18
A36107,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.55,6.6,5.23,0.51,0.51,0.51,1.99,1.99,1.2,0.51,0.55,0.51,1.99,1.99,1.2,5.23,5.23,5.18,5.18,5.18
A36109,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.11,1.32,1.05,0.56,0.56,0.56,2.18,2.18,1.31,0.56,0.11,0.56,2.18,2.18,1.31,1.05,1.05,5.18,5.18,5.18
A36123,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.46,5.52,4.37,1.03,1.03,1.03,4.02,4.02,2.41,1.03,0.46,1.03,4.02,4.02,2.41,4.37,4.37,5.18,5.18,5.18
A37001,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,4.78,4.78,4.78,18.66,18.66,11.19,4.78,0.17,4.78,18.66,18.66,11.19,1.62,1.62,5.18,5.18,5.18
A37005,0.38,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.85,10.2,8.08,2.23,2.23,2.23,8.71,8.71,5.23,2.23,0.85,2.23,8.71,8.71,5.23,8.08,8.08,5.18,5.18,5.18
A37009,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3,36,28.5,1.68,1.68,1.68,6.55,6.55,3.93,1.68,3,1.68,6.55,6.55,3.93,28.5,28.5,5.18,5.18,5.18
A37033,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.18,2.16,1.71,2.33,2.33,2.33,9.09,9.09,5.45,2.33,0.18,2.33,9.09,9.09,5.45,1.71,1.71,5.18,5.18,5.18
A37067,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.8,21.6,17.1,4.53,4.53,4.53,17.71,17.71,10.63,4.53,1.8,4.53,17.71,17.71,10.63,17.1,17.1,5.18,5.18,5.18
A37077,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.67,20.04,15.87,3.3,3.3,3.3,12.88,12.88,7.73,3.3,1.67,3.3,12.88,12.88,7.73,15.87,15.87,5.18,5.18,5.18
A37081,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.14,1.68,1.33,2,2,2,7.81,7.81,4.69,2,0.14,2,7.81,7.81,4.69,1.33,1.33,5.18,5.18,5.18
A37131,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.07,0.84,0.67,1.32,1.32,1.32,5.14,5.14,3.08,1.32,0.07,1.32,5.14,5.14,3.08,0.67,0.67,5.18,5.18,5.18
A37135,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.24,2.88,2.28,2.03,2.03,2.03,7.94,7.94,4.76,2.03,0.24,2.03,7.94,7.94,4.76,2.28,2.28,5.18,5.18,5.18
A37145,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.3,3.6,2.85,3.1,3.1,3.1,12.1,12.1,7.26,3.1,0.3,3.1,12.1,12.1,7.26,2.85,2.85,5.18,5.18,5.18
A37157,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.82,33.84,26.79,2.62,2.62,2.62,10.25,10.25,6.15,2.62,2.82,2.62,10.25,10.25,6.15,26.79,26.79,5.18,5.18,5.18
A37169,0.23,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.33,3.96,3.14,6.27,6.27,6.27,24.47,24.47,14.68,6.27,0.33,6.27,24.47,24.47,14.68,3.14,3.14,5.18,5.18,5.18
A37171,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.39,4.68,3.71,3.56,3.56,3.56,13.91,13.91,8.34,3.56,0.39,3.56,13.91,13.91,8.34,3.71,3.71,5.18,5.18,5.18
A37181,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.57,6.84,5.42,2.95,2.95,2.95,11.54,11.54,6.92,2.95,0.57,2.95,11.54,11.54,6.92,5.42,5.42,5.18,5.18,5.18
A37185,0.22,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.68,20.16,15.96,3.81,3.81,3.81,14.89,14.89,8.93,3.81,1.68,3.81,14.89,14.89,8.93,15.96,15.96,5.18,5.18,5.18
A37189,0.44,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.22,38.64,30.59,4.52,4.52,4.52,17.66,17.66,10.59,4.52,3.22,4.52,17.66,17.66,10.59,30.59,30.59,5.18,5.18,5.18
A42001,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,1.44,1.44,1.44,5.61,5.61,3.36,1.44,0.17,1.44,5.61,5.61,3.36,1.62,1.62,5.18,5.18,5.18
A42009,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.08,12.96,10.26,1.47,1.47,1.47,5.73,5.73,3.44,1.47,1.08,1.47,5.73,5.73,3.44,10.26,10.26,5.18,5.18,5.18
A42011,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.74,8.88,7.03,2.15,2.15,2.15,8.39,8.39,5.03,2.15,0.74,2.15,8.39,8.39,5.03,7.03,7.03,5.18,5.18,5.18
A42013,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.21,2.52,2,1.11,1.11,1.11,4.33,4.33,2.6,1.11,0.21,1.11,4.33,4.33,2.6,2,2,5.18,5.18,5.18
A42015,0.31,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.23,2.76,2.19,1.48,1.48,1.48,5.76,5.76,3.46,1.48,0.23,1.48,5.76,5.76,3.46,2.19,2.19,5.18,5.18,5.18
A42021,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.22,2.64,2.09,1,1,1,3.9,3.9,2.34,1,0.22,1,3.9,3.9,2.34,2.09,2.09,5.18,5.18,5.18
A42023,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.29,3.48,2.76,1,1,1,3.9,3.9,2.34,1,0.29,1,3.9,3.9,2.34,2.76,2.76,5.18,5.18,5.18
A42025,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.54,6.48,5.13,1.18,1.18,1.18,4.62,4.62,2.77,1.18,0.54,1.18,4.62,4.62,2.77,5.13,5.13,5.18,5.18,5.18
A42027,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.41,16.92,13.4,1.91,1.91,1.91,7.47,7.47,4.48,1.91,1.41,1.91,7.47,7.47,4.48,13.4,13.4,5.18,5.18,5.18
A42029,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.49,5.88,4.66,2.37,2.37,2.37,9.25,9.25,5.55,2.37,0.49,2.37,9.25,9.25,5.55,4.66,4.66,5.18,5.18,5.18
A42033,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.53,54.36,43.04,0.27,0.27,0.27,1.04,1.04,0.62,0.27,4.53,0.27,1.04,1.04,0.62,43.04,43.04,5.18,5.18,5.18
A42035,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.65,7.8,6.18,0.9,0.9,0.9,3.5,3.5,2.1,0.9,0.65,0.9,3.5,3.5,2.1,6.18,6.18,5.18,5.18,5.18
A42037,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.4,4.8,3.8,1.47,1.47,1.47,5.74,5.74,3.44,1.47,0.4,1.47,5.74,5.74,3.44,3.8,3.8,5.18,5.18,5.18
A42041,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.22,14.64,11.59,1.92,1.92,1.92,7.51,7.51,4.51,1.92,1.22,1.92,7.51,7.51,4.51,11.59,11.59,5.18,5.18,5.18
A42043,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.31,3.72,2.95,1.35,1.35,1.35,5.27,5.27,3.16,1.35,0.31,1.35,5.27,5.27,3.16,2.95,2.95,5.18,5.18,5.18
A42047,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.22,2.64,2.09,0.26,0.26,0.26,1,1,0.6,0.26,0.22,0.26,1,1,0.6,2.09,2.09,5.18,5.18,5.18
A42055,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.74,8.88,7.03,2,2,2,7.82,7.82,4.69,2,0.74,2,7.82,7.82,4.69,7.03,7.03,5.18,5.18,5.18
A42057,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.77,21.24,16.82,0.87,0.87,0.87,3.4,3.4,2.04,0.87,1.77,0.87,3.4,3.4,2.04,16.82,16.82,5.18,5.18,5.18
A42061,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.55,6.6,5.23,1.84,1.84,1.84,7.19,7.19,4.32,1.84,0.55,1.84,7.19,7.19,4.32,5.23,5.23,5.18,5.18,5.18
A42063,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.3,15.6,12.35,0.64,0.64,0.64,2.51,2.51,1.51,0.64,1.3,0.64,2.51,2.51,1.51,12.35,12.35,5.18,5.18,5.18
A42065,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1,12,9.5,1.07,1.07,1.07,4.18,4.18,2.51,1.07,1,1.07,4.18,4.18,2.51,9.5,9.5,5.18,5.18,5.18
A42067,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.36,4.32,3.42,1.58,1.58,1.58,6.17,6.17,3.7,1.58,0.36,1.58,6.17,6.17,3.7,3.42,3.42,5.18,5.18,5.18
A42069,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.53,6.36,5.04,0.55,0.55,0.55,2.13,2.13,1.28,0.55,0.53,0.55,2.13,2.13,1.28,5.04,5.04,5.18,5.18,5.18
A42071,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.65,19.8,15.68,2.57,2.57,2.57,10.03,10.03,6.02,2.57,1.65,2.57,10.03,10.03,6.02,15.68,15.68,5.18,5.18,5.18
A42075,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.46,5.52,4.37,2.16,2.16,2.16,8.44,8.44,5.07,2.16,0.46,2.16,8.44,8.44,5.07,4.37,4.37,5.18,5.18,5.18
A42079,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.15,1.8,1.43,0.88,0.88,0.88,3.43,3.43,2.06,0.88,0.15,0.88,3.43,3.43,2.06,1.43,1.43,5.18,5.18,5.18
A42081,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.26,3.12,2.47,1.81,1.81,1.81,7.08,7.08,4.25,1.81,0.26,1.81,7.08,7.08,4.25,2.47,2.47,5.18,5.18,5.18
A42083,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.14,0.14,0.14,0.54,0.54,0.32,0.14,0.03,0.14,0.54,0.54,0.32,0.29,0.29,5.18,5.18,5.18
A42087,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.27,3.24,2.57,1.66,1.66,1.66,6.49,6.49,3.89,1.66,0.27,1.66,6.49,6.49,3.89,2.57,2.57,5.18,5.18,5.18
A42093,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.2,2.4,1.9,2.89,2.89,2.89,11.28,11.28,6.77,2.89,0.2,2.89,11.28,11.28,6.77,1.9,1.9,5.18,5.18,5.18
A42097,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.81,9.72,7.7,2.57,2.57,2.57,10.03,10.03,6.02,2.57,0.81,2.57,10.03,10.03,6.02,7.7,7.7,5.18,5.18,5.18
A42099,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.36,16.32,12.92,1.38,1.38,1.38,5.4,5.4,3.24,1.38,1.36,1.38,5.4,5.4,3.24,12.92,12.92,5.18,5.18,5.18
A42105,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.49,5.88,4.66,0.81,0.81,0.81,3.17,3.17,1.9,0.81,0.49,0.81,3.17,3.17,1.9,4.66,4.66,5.18,5.18,5.18
A42107,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.54,6.48,5.13,1.77,1.77,1.77,6.91,6.91,4.14,1.77,0.54,1.77,6.91,6.91,4.14,5.13,5.13,5.18,5.18,5.18
A42109,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,10.08,120.96,95.76,1.83,1.83,1.83,7.15,7.15,4.29,1.83,10.08,1.83,7.15,7.15,4.29,95.76,95.76,5.18,5.18,5.18
A42111,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.21,14.52,11.5,0.95,0.95,0.95,3.72,3.72,2.23,0.95,1.21,0.95,3.72,3.72,2.23,11.5,11.5,5.18,5.18,5.18
A42113,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.91,10.92,8.65,0.42,0.42,0.42,1.65,1.65,0.99,0.42,0.91,0.42,1.65,1.65,0.99,8.65,8.65,5.18,5.18,5.18
A42115,0.31,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,0.26,0.26,0.26,1.02,1.02,0.61,0.26,0.16,0.26,1.02,1.02,0.61,1.52,1.52,5.18,5.18,5.18
A42117,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.6,7.2,5.7,1.1,1.1,1.1,4.29,4.29,2.58,1.1,0.6,1.1,4.29,4.29,2.58,5.7,5.7,5.18,5.18,5.18
A42119,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,1.43,1.43,1.43,5.58,5.58,3.35,1.43,0.08,1.43,5.58,5.58,3.35,0.76,0.76,5.18,5.18,5.18
A42127,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.12,1.44,1.14,0.17,0.17,0.17,0.66,0.66,0.4,0.17,0.12,0.17,0.66,0.66,0.4,1.14,1.14,5.18,5.18,5.18
A42131,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.18,2.16,1.71,1.34,1.34,1.34,5.25,5.25,3.15,1.34,0.18,1.34,5.25,5.25,3.15,1.71,1.71,5.18,5.18,5.18
A42133,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.31,3.72,2.95,2.89,2.89,2.89,11.29,11.29,6.78,2.89,0.31,2.89,11.29,11.29,6.78,2.95,2.95,5.18,5.18,5.18
A47091,0.46,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.4,4.8,3.8,0.63,0.63,0.63,2.48,2.48,1.49,0.63,0.4,0.63,2.48,2.48,1.49,3.8,3.8,5.18,5.18,5.18
A47163,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.28,15.36,12.16,3.15,3.15,3.15,12.29,12.29,7.37,3.15,1.28,3.15,12.29,12.29,7.37,12.16,12.16,5.18,5.18,5.18
A51001,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.04,0.48,0.38,0.57,0.57,0.57,2.22,2.22,1.33,0.57,0.04,0.57,2.22,2.22,1.33,0.38,0.38,5.18,5.18,5.18
A51003,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.85,34.2,27.08,0.27,0.27,0.27,1.04,1.04,0.63,0.27,2.85,0.27,1.04,1.04,0.63,27.08,27.08,5.18,5.18,5.18
A51005,0.35,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.54,18.48,14.63,0.02,0.02,0.02,0.09,0.09,0.06,0.02,1.54,0.02,0.09,0.09,0.06,14.63,14.63,5.18,5.18,5.18
A51007,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.9,10.8,8.55,3.14,3.14,3.14,12.26,12.26,7.36,3.14,0.9,3.14,12.26,12.26,7.36,8.55,8.55,5.18,5.18,5.18
A51009,0.26,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.45,41.4,32.78,0.8,0.8,0.8,3.12,3.12,1.87,0.8,3.45,0.8,3.12,3.12,1.87,32.78,32.78,5.18,5.18,5.18
A51011,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.83,21.96,17.39,1.29,1.29,1.29,5.03,5.03,3.02,1.29,1.83,1.29,5.03,5.03,3.02,17.39,17.39,5.18,5.18,5.18
A51013,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.83,21.96,17.39,1.29,1.29,1.29,5.03,5.03,3.02,1.29,1.83,1.29,5.03,5.03,3.02,17.39,17.39,5.18,5.18,5.18
A51015,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.74,44.88,35.53,3.21,3.21,3.21,12.53,12.53,7.52,3.21,3.74,3.21,12.53,12.53,7.52,35.53,35.53,5.18,5.18,5.18
A51017,0.38,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.51,18.12,14.35,0.19,0.19,0.19,0.75,0.75,0.45,0.19,1.51,0.19,0.75,0.75,0.45,14.35,14.35,5.18,5.18,5.18
A51019,0.38,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.54,54.48,43.13,0.89,0.89,0.89,3.46,3.46,2.08,0.89,4.54,0.89,3.46,3.46,2.08,43.13,43.13,5.18,5.18,5.18
A51021,0.36,3,0.74,0.74,0.74,24.7,24.7,10,10,10,8.36,100.32,79.42,0.56,0.56,0.56,2.17,2.17,1.3,0.56,8.36,0.56,2.17,2.17,1.3,79.42,79.42,5.18,5.18,5.18
