landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A42055,1.0889,20.25,11.4561,11.4674,14.6391,2.9962,4.6668,2.7,4.95,25.7138,113.4,2.4769,0,7.5,8.8594,2.4769,0,8.8594,2.4769,0,7.5,8.8594,9.1648,9.1739,11.7113,2.3970,3.7334,3.96
A42057,0.9264,20.25,11.1327,11.1442,16.1876,2.6888,2.4789,2.7,4.95,13.6589,113.4,2.3810,0,7.5,8.8594,2.3810,0,8.8594,2.3810,0,7.5,8.8594,8.9062,8.9154,12.9501,2.1510,1.9832,3.96
A42061,0.8874,20.25,11.0479,11.0595,14.1890,2.7890,2.8016,2.7,4.95,15.4367,113.4,2.7479,0,7.5,8.8594,2.7479,0,8.8594,2.7479,0,7.5,8.8594,8.8383,8.8476,11.3512,2.2312,2.2413,3.96
A42063,1.0156,20.25,10.4020,10.4139,13.8938,2.6126,2.5875,2.7,4.95,14.2569,113.4,3.8997,0,7.5,8.8594,3.8997,0,8.8594,3.8997,0,7.5,8.8594,8.3216,8.3311,11.1151,2.0900,2.0700,3.96
A42065,0.9411,20.25,10.1126,10.1247,15.1019,2.5371,2.3593,2.7,4.95,12.9996,113.4,3.8209,0,7.5,8.8594,3.8209,0,8.8594,3.8209,0,7.5,8.8594,8.0900,8.0997,12.0815,2.0297,1.8874,3.96
A42067,0.9832,20.25,12.0459,12.0569,14.6264,3.3017,3.5870,2.7,4.95,19.7641,113.4,2.5355,0,7.5,8.8594,2.5355,0,8.8594,2.5355,0,7.5,8.8594,9.6367,9.6455,11.7011,2.6414,2.8696,3.96
A42069,0.9802,20.25,10.5998,10.6117,13.8595,2.6384,2.4757,2.7,4.95,13.6411,113.4,3.2027,0,7.5,8.8594,3.2027,0,8.8594,3.2027,0,7.5,8.8594,8.4799,8.4893,11.0876,2.1107,1.9806,3.96
A42071,1.4528,20.25,12.3139,12.3247,14.6156,3.6068,7.0359,2.7,4.95,38.7679,113.4,2.9174,0,7.5,8.8594,2.9174,0,8.8594,2.9174,0,7.5,8.8594,9.8511,9.8598,11.6925,2.8854,5.6287,3.96
A42075,1.3130,20.25,11.5637,11.5750,17.0993,3.5473,5.7526,2.7,4.95,31.6969,113.4,3.1399,0,7.5,8.8594,3.1399,0,8.8594,3.1399,0,7.5,8.8594,9.2510,9.2600,13.6794,2.8378,4.6021,3.96
A42079,0.9700,20.25,10.1141,10.1262,14.6227,2.5837,2.5216,2.7,4.95,13.8943,113.4,3.1562,0,7.5,8.8594,3.1562,0,8.8594,3.1562,0,7.5,8.8594,8.0913,8.1010,11.6981,2.0670,2.0173,3.96
A42081,0.8811,20.25,10.1017,10.1138,14.7206,2.6003,2.7038,2.7,4.95,14.8978,113.4,3.6858,0,7.5,8.8594,3.6858,0,8.8594,3.6858,0,7.5,8.8594,8.0814,8.0911,11.7765,2.0802,2.1630,3.96
A42083,0.9225,20.25,10.3590,10.5730,14.4531,2.6059,2.0577,2.7,4.95,11.3378,113.4,4.2309,0,7.5,8.8594,4.2309,0,8.8594,4.2309,0,7.5,8.8594,8.2872,8.4584,11.5625,2.0848,1.6461,3.96
A42087,0.9494,20.25,10.9556,10.9673,14.3255,3.0710,3.7132,2.7,4.95,20.4600,113.4,3.2195,0,7.5,8.8594,3.2195,0,8.8594,3.2195,0,7.5,8.8594,8.7645,8.7738,11.4604,2.4568,2.9706,3.96
A42093,0.9404,20.25,10.1372,10.1493,19.7211,2.5712,3.0458,2.7,4.95,16.7826,113.4,2.6417,0,7.5,8.8594,2.6417,0,8.8594,2.6417,0,7.5,8.8594,8.1097,8.1194,15.7769,2.0569,2.4367,3.96
A42097,0.9824,20.25,10.3746,10.3865,21.0628,2.8245,3.0296,2.7,4.95,16.6931,113.4,3.1447,0,7.5,8.8594,3.1447,0,8.8594,3.1447,0,7.5,8.8594,8.2997,8.3092,16.8503,2.2596,2.4237,3.96
