TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42011,6.467000,0.5,0.01,0.1,0.,200,1599.891,8,0.02,0.5,22.90067,2200,27.09300,9,0.02,0.005,3.838000,1200,0.391000,5,0.005,0.1,0.,1000,0,0,0,0,101.6500,2.080000
A42013,9.722667,0.5,0.01,0.1,0.,200,1314.536,8,0.02,0.5,18.36733,2200,60.93267,9,0.02,0.005,5.493000,1200,0.910667,5,0.005,0.1,0.,1000,0,0,0,0,117.3433,2.396667
A42015,5.439000,0.5,0.01,0.1,0.,200,1194.542,8,0.02,0.5,12.22600,2200,66.14500,9,0.02,0.005,4.758000,1200,1.120333,5,0.005,0.1,0.,1000,0,0,0,0,85.35667,1.746667
A42021,9.680000,0.5,0.01,0.1,0.,200,1378.614,8,0.02,0.5,13.82100,2200,77.37333,9,0.02,0.005,5.399333,1200,1.034333,5,0.005,0.1,0.,1000,0,0,0,0,92.35001,1.890000
A42023,7.784000,0.5,0.01,0.1,0.,200,1268.865,8,0.02,0.5,10.94833,2200,60.50367,9,0.02,0.005,5.025667,1200,0.711000,5,0.005,0.1,0.,1000,0,0,0,0,73.73667,1.506667
A42025,5.987667,0.5,0.01,0.1,0.,200,1533.309,8,0.02,0.5,18.77667,2200,42.78534,9,0.02,0.005,4.205333,1200,0.864000,5,0.005,0.1,0.,1000,0,0,0,0,79.24334,1.620000
A42027,15.55200,0.5,0.01,0.1,0.,200,764.0717,8,0.02,0.5,14.44433,2200,234.8383,9,0.02,0.005,7.064001,1200,4.263667,5,0.005,0.1,0.,1000,0,0,0,0,191.6867,3.893333
A42029,38.56767,0.5,0.01,0.1,0.000667,200,885.3903,8,0.02,0.5,17.12700,2200,162.4243,9,0.02,0.005,8.078334,1200,3.716666,5,0.005,0.1,0.,1000,0,0,0,0,266.4200,5.416667
A42033,8.953334,0.5,0.01,0.1,0.,200,1254.963,8,0.02,0.5,11.80667,2200,83.98434,9,0.02,0.005,5.289333,1200,1.089667,5,0.005,0.1,0.,1000,0,0,0,0,82.64333,1.690000
A42035,9.201667,0.5,0.01,0.1,0.,200,1182.752,8,0.02,0.5,9.727667,2200,90.49567,9,0.02,0.005,5.205667,1200,1.196667,5,0.005,0.1,0.,1000,0,0,0,0,79.25000,1.620000
A42037,9.597333,0.5,0.01,0.1,0.,200,1424.061,8,0.02,0.5,19.73800,2200,46.90900,9,0.02,0.005,4.516000,1200,0.683333,5,0.005,0.1,0.,1000,0,0,0,0,90.49334,1.846667
A42041,11.41133,0.5,0.01,0.1,0.,200,796.4807,8,0.02,0.5,14.19700,2200,207.2210,9,0.02,0.005,6.814333,1200,3.980000,5,0.005,0.1,0.,1000,0,0,0,0,187.1933,3.830000
A42043,6.967000,0.5,0.01,0.1,0.,200,1029.235,8,0.02,0.5,11.95167,2200,112.6513,9,0.02,0.005,5.762667,1200,2.349334,5,0.005,0.1,0.,1000,0,0,0,0,145.9467,2.963333
A42047,8.960000,0.5,0.01,0.1,0.,200,1335.307,8,0.02,0.5,13.30467,2200,58.79533,9,0.02,0.005,5.015000,1200,0.715667,5,0.005,0.1,0.,1000,0,0,0,0,76.53000,1.566667
A42055,13.11100,0.5,0.01,0.1,0.,200,377.8220,8,0.02,0.5,12.64533,2200,451.1600,9,0.02,0.005,6.878000,1200,9.137666,5,0.005,0.1,0.,1000,0,0,0,0,217.9567,4.436666
A42057,8.127000,0.5,0.01,0.1,0.,200,1218.836,8,0.02,0.5,22.05334,2200,39.31833,9,0.02,0.005,4.797667,1200,0.582333,5,0.005,0.1,0.,1000,0,0,0,0,154.1033,3.120000
A42061,8.877667,0.5,0.01,0.1,0.,200,1289.429,8,0.02,0.5,21.87667,2200,43.33467,9,0.02,0.005,4.717333,1200,0.629667,5,0.005,0.1,0.,1000,0,0,0,0,126.4900,2.580000
A42063,8.658334,0.5,0.01,0.1,0.,200,1524.129,8,0.02,0.5,27.48733,2200,48.68666,9,0.02,0.005,4.610333,1200,0.612667,5,0.005,0.1,0.,1000,0,0,0,0,83.53667,1.706667
A42065,7.628000,0.5,0.01,0.1,0.,200,1452.601,8,0.02,0.5,26.72367,2200,50.52966,9,0.02,0.005,4.526667,1200,0.664000,5,0.005,0.1,0.,1000,0,0,0,0,75.07333,1.536667
A42067,7.984667,0.5,0.01,0.1,0.,200,962.0267,8,0.02,0.5,11.31767,2200,132.6360,9,0.02,0.005,6.382000,1200,2.300667,5,0.005,0.1,0.,1000,0,0,0,0,138.5100,2.816667
A42069,8.145000,0.5,0.01,0.1,0.,200,1209.238,8,0.02,0.5,11.47167,2200,117.6637,9,0.02,0.005,5.325000,1200,2.708667,5,0.005,0.1,0.,1000,0,0,0,0,96.59000,1.973333
A42071,19.70600,0.5,0.01,0.1,0.,200,495.1883,8,0.02,0.5,16.82800,2200,408.0627,9,0.02,0.005,8.555667,1200,9.410667,5,0.005,0.1,0.,1000,0,0,0,0,335.7900,6.843334
A42075,17.71367,0.5,0.01,0.1,0.001000,200,309.6346,8,0.02,0.5,18.30067,2200,491.9060,9,0.02,0.005,7.929333,1200,10.97833,5,0.005,0.1,0.,1000,0,0,0,0,351.4233,7.156667
A42079,7.059667,0.5,0.01,0.1,0.,200,1133.942,8,0.02,0.5,10.27167,2200,125.7407,9,0.02,0.005,5.515334,1200,2.683333,5,0.005,0.1,0.,1000,0,0,0,0,106.0533,2.156667
A42081,7.028000,0.5,0.01,0.1,0.,200,1357.189,8,0.02,0.5,17.70767,2200,58.67900,9,0.02,0.005,4.403333,1200,0.992000,5,0.005,0.1,0.,1000,0,0,0,0,71.21667,1.456667
A42083,8.558666,0.5,0.01,0.1,0.,200,1396.675,8,0.02,0.5,16.40700,2200,50.82067,9,0.02,0.005,5.116667,1200,0.566000,5,0.005,0.1,0.,1000,0,0,0,0,74.18000,1.516667
A42087,7.331666,0.5,0.01,0.1,0.,200,1329.252,8,0.02,0.5,15.90833,2200,55.97533,9,0.02,0.005,4.467333,1200,0.865333,5,0.005,0.1,0.,1000,0,0,0,0,92.27334,1.886667
A42093,6.883333,0.5,0.01,0.1,0.,200,1348.737,8,0.02,0.5,20.48600,2200,30.49800,9,0.02,0.005,4.726000,1200,0.451000,5,0.005,0.1,0.,1000,0,0,0,0,123.4700,2.526667
A42097,16.25700,0.5,0.01,0.1,0.,200,777.7449,8,0.02,0.5,18.65633,2200,197.7167,9,0.02,0.005,6.821667,1200,4.731333,5,0.005,0.1,0.,1000,0,0,0,0,246.0633,4.993333
A42099,9.575667,0.5,0.01,0.1,0.,200,1278.564,8,0.02,0.5,16.93200,2200,66.73600,9,0.02,0.005,5.643667,1200,0.975667,5,0.005,0.1,0.,1000,0,0,0,0,134.9133,2.763333
A42105,7.597000,0.5,0.01,0.1,0.,200,1237.338,8,0.02,0.5,10.83833,2200,67.54467,9,0.02,0.005,5.316333,1200,0.857333,5,0.005,0.1,0.,1000,0,0,0,0,75.57333,1.546667
A42107,10.11800,0.5,0.01,0.1,0.,200,1314.290,8,0.02,0.5,16.67533,2200,99.80334,9,0.02,0.005,6.313000,1200,1.616000,5,0.005,0.1,0.,1000,0,0,0,0,126.2067,2.556667
A42109,7.410000,0.5,0.01,0.1,0.,200,1250.745,8,0.02,0.5,13.76333,2200,72.35800,9,0.02,0.005,5.354666,1200,1.219000,5,0.005,0.1,0.,1000,0,0,0,0,118.2967,2.420000
A42111,36.88567,0.5,0.01,0.1,0.,200,1316.031,8,0.02,0.5,16.77333,2200,54.34666,9,0.02,0.005,4.256334,1200,1.099000,5,0.005,0.1,0.,1000,0,0,0,0,77.82667,1.586667
A42113,7.579667,0.5,0.01,0.1,0.,200,1466.034,8,0.02,0.5,20.21533,2200,58.86000,9,0.02,0.005,4.670333,1200,1.291333,5,0.005,0.1,0.,1000,0,0,0,0,76.37000,1.563333
A42115,7.221333,0.5,0.01,0.1,0.,200,1393.503,8,0.02,0.5,13.47233,2200,64.83533,9,0.02,0.005,4.762333,1200,1.263667,5,0.005,0.1,0.,1000,0,0,0,0,77.95000,1.596667
A42117,6.310999,0.5,0.01,0.1,0.,200,1223.710,8,0.02,0.5,12.80533,2200,66.06767,9,0.02,0.005,4.826667,1200,1.077667,5,0.005,0.1,0.,1000,0,0,0,0,79.70000,1.633333
A42119,6.882333,0.5,0.01,0.1,0.,200,1487.350,8,0.02,0.5,19.28100,2200,37.09733,9,0.02,0.005,4.128000,1200,0.530667,5,0.005,0.1,0.,1000,0,0,0,0,79.51000,1.626667
A42127,10.07300,0.5,0.01,0.1,0.,200,1505.604,8,0.02,0.5,34.51300,2200,56.97600,9,0.02,0.005,4.780667,1200,1.008000,5,0.005,0.1,0.,1000,0,0,0,0,72.02666,1.473333
A42131,5.806667,0.5,0.01,0.1,0.,200,1019.582,8,0.02,0.5,9.662333,2200,109.7997,9,0.02,0.005,5.362333,1200,2.313333,5,0.005,0.1,0.,1000,0,0,0,0,101.4533,2.070000
