lsegmt,NO3,NH3,LON,RON,PO4,mNH3,mNO3,mLON,mRON,mPO4
A51003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51007,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51011,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51013,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51017,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51019,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51021,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51025,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51029,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51031,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51036,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51037,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51045,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51047,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51049,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51051,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51053,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51057,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51059,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51061,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51063,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51065,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51067,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51069,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51073,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51075,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51077,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51079,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51081,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51083,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51085,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51087,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51089,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51091,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51093,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51095,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51097,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51099,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51101,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51103,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51105,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51107,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51109,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51111,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51113,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51115,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51117,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51119,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51121,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51125,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51127,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51131,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51133,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51135,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51137,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51139,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51141,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51143,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51145,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51147,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51149,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51153,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51155,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51157,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51159,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51161,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51163,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51165,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51167,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51169,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51171,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51173,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51175,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51177,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51179,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51181,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51183,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51185,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51187,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51191,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51193,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51195,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51197,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51199,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51510,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51515,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51520,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51530,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51540,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51550,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51570,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51580,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51590,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51595,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51600,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51610,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51620,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51630,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51640,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51650,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51660,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51670,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51678,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51680,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51683,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51685,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51690,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51700,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51710,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51720,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51730,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51735,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51740,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51750,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51760,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51770,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51775,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51790,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51800,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51810,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51820,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51830,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51840,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54031,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54037,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54057,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54063,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54065,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54077,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A54093,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B24001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B24021,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B37005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B37009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42055,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42079,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42081,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42119,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B42131,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51017,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51019,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51061,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51067,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51077,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51079,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51091,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51105,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51113,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51125,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51139,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51141,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51157,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51161,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51163,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51165,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51167,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51169,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51171,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51173,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51185,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51187,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51191,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51195,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B51197,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B54023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B54031,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B54057,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
B54071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
C42009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
C51015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
C51071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
C51165,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F10005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F11001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24013,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24017,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24019,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24021,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24025,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24029,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24031,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24037,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24039,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24045,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F24510,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F36003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F36007,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F36015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F36025,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F36101,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42011,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42013,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42021,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42055,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42061,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42069,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42075,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42079,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42081,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42087,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42097,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42107,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42115,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42117,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42119,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F42133,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51011,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51013,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51017,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51019,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51045,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51053,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51057,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51059,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51061,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51069,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51079,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51085,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51087,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51091,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51095,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
